universe,model_A,model_B,mean_delta_IC,T,NW_lag,DM_stat,DM_p_normal,HLN_stat,HLN_p_t,HLN_p_t_lag21,BH_FDR_reject,bh_fdr_q
B,GAT,LightGBM,0.009847967880775625,749,6,-1.019676752597681,0.3078817905937772,-0.9917681432652818,0.3216313509826785,0.5102483573406886,False,0.05
B,SAGE-Mean,LightGBM,0.009695650472054302,749,6,-1.0912905456374533,0.27514505654618215,-1.061421862813463,0.2888408067127084,0.46745995159833575,False,0.05
B,MLP,LightGBM,0.006033056920823195,749,6,-0.7390149258791627,0.4598979340058662,-0.7187880463267649,0.47249599673356246,0.630727208670395,False,0.05
B,GAT,MLP,0.0038149109599524274,749,6,-0.9316155454019303,0.3515352463631485,-0.9061171761997533,0.3651656185310075,0.5183172533274791,False,0.05
B,SAGE-Mean,MLP,0.0036625935512311063,749,6,-0.8838403077581436,0.3767824240018225,-0.8596495494628213,0.3902576743728363,0.5255567971142283,False,0.05
C,GAT,LightGBM,-0.008755799637861134,749,6,1.4758036054875088,0.13999662257342216,1.4354107788667494,0.15158808910711952,0.2718327669622571,False,0.05
C,SAGE-Mean,LightGBM,-0.0009458993139220335,749,6,0.1822834441846073,0.8553602906472193,0.17729433619665688,0.8593251964275643,0.889879903169362,False,0.05
C,MLP,LightGBM,0.0047658051069156115,749,6,-0.9000869652729981,0.3680739721518864,-0.8754515350594585,0.3816092958097552,0.48180780174625704,False,0.05
C,GAT,MLP,-0.013521604744776743,749,6,3.807132574213631,0.00014058738885736055,3.7029311442803725,0.0002287943158034711,0.004784328934743343,True,0.05
C,SAGE-Mean,MLP,-0.005711704420837646,749,6,1.8841147830573102,0.05954945101594111,1.832546456836489,0.06726741737054609,0.14875297906579088,False,0.05
