universe,pair,is_edge_test,T,mean_delta_IC,delta_ci_lo,delta_ci_hi,ci_excludes_0,SE,power_at_delta_0.01,MDE_80pct_power,SE_lag21,power_at_delta_0.01_lag21,MDE_80pct_power_lag21
B,GAT-LightGBM,False,749,0.0098,-0.0174,0.0397,False,0.0097,0.179,0.0271,0.0145,0.106,0.0407
B,SAGE-Mean-LightGBM,False,749,0.0097,-0.0137,0.0366,False,0.0089,0.203,0.0249,0.013,0.12,0.0363
B,MLP-LightGBM,False,749,0.006,-0.0173,0.0299,False,0.0082,0.232,0.0229,0.0122,0.13,0.0342
B,GAT-MLP,True,749,0.0038,-0.0081,0.0162,False,0.0041,0.685,0.0115,0.0057,0.414,0.0161
B,SAGE-Mean-MLP,True,749,0.0037,-0.0069,0.0159,False,0.0041,0.675,0.0116,0.0056,0.43,0.0157
C,GAT-LightGBM,False,749,-0.0088,-0.0224,0.0054,False,0.0059,0.392,0.0166,0.0077,0.252,0.0217
C,SAGE-Mean-LightGBM,False,749,-0.0009,-0.013,0.0107,False,0.0052,0.487,0.0145,0.0066,0.325,0.0186
C,MLP-LightGBM,False,749,0.0048,-0.0071,0.0161,False,0.0053,0.472,0.0148,0.0066,0.33,0.0185
C,GAT-MLP,True,749,-0.0135,-0.0223,-0.005,True,0.0036,0.804,0.01,0.0046,0.576,0.013
C,SAGE-Mean-MLP,True,749,-0.0057,-0.0121,0.001,False,0.003,0.91,0.0085,0.0038,0.74,0.0108
