universe,model,cost_bps,n_cells,Sharpe_net_mean,Sharpe_net_std,Sharpe_net_ci_lo,Sharpe_net_ci_hi
B,GAT,0,50,1.497072,2.541259055539845,0.8161342499999998,2.203268099999998
B,GAT,5,50,1.384268,2.518121082209787,0.7099408,2.0851626999999997
B,GAT,10,50,1.271438,2.4952341886647904,0.6058238000000001,1.9684746999999998
B,GAT,15,50,1.15859,2.4726477807923115,0.50052195,1.8500097999999994
B,GAT,20,50,1.0457059999999998,2.450381397669534,0.3945429,1.7322760499999996
B,GAT,30,50,0.8198440000000001,2.4069916010265273,0.1777958,1.4929415999999989
B,SAGE-Mean,0,50,1.912134,3.0954974373658874,1.10132085,2.822229549999999
B,SAGE-Mean,5,50,1.7682799999999999,3.048180754188321,0.97346015,2.6653057999999996
B,SAGE-Mean,10,50,1.6233779999999998,2.998426710949376,0.8385035000000003,2.506153649999999
B,SAGE-Mean,15,50,1.4773780000000003,2.946361813636109,0.7063178000000001,2.3478073999999998
B,SAGE-Mean,20,50,1.330298,2.8920734135889004,0.5723109500000001,2.1895539499999996
B,SAGE-Mean,30,50,1.032752,2.777525129718975,0.30174985,1.8545068999999983
B,MLP,0,50,1.9933980000000002,4.9969307442726425,0.9316423,3.5670281999999998
B,MLP,5,50,1.820528,4.670891487999843,0.8148806000000001,3.2889781499999993
B,MLP,10,50,1.6445,4.327036842591342,0.6952779,2.9971094999999988
B,MLP,15,50,1.466866,3.9772387620625773,0.5747466999999999,2.701427049999999
B,MLP,20,50,1.2891139999999999,3.633026583544191,0.45395104999999997,2.4041211999999996
B,MLP,30,50,0.9381000000000002,3.000305352215106,0.22022395,1.8507360999999993
B,LightGBM,0,50,-0.32874400000000004,4.384210766764326,-1.5627005499999997,0.8003144999999996
B,LightGBM,5,50,-0.578074,4.605524922942098,-1.8847404499999998,0.6073612499999997
B,LightGBM,10,50,-0.832526,4.852828843721264,-2.2050329,0.4032575999999995
B,LightGBM,15,50,-1.09257,5.129877512610585,-2.53941745,0.20479694999999984
B,LightGBM,20,50,-1.35879,5.441431905645381,-2.9079543500000002,0.01331364999999897
B,LightGBM,30,50,-1.9127220000000003,6.1936925006631895,-3.68710815,-0.37533585000000075
C,GAT,0,50,3.6236520000000003,10.912374861713053,1.43522985,7.047235649999998
C,GAT,5,50,3.3568700000000002,10.456575102527399,1.24221175,6.63744855
C,GAT,10,50,3.0807580000000008,9.935399728020354,1.0548715000000002,6.191099399999997
C,GAT,15,50,2.7986380000000004,9.372600097807677,0.8617752499999999,5.724240599999999
C,GAT,20,50,2.513838,8.791748327786618,0.6821948,5.247298949999997
C,GAT,30,50,1.947176,7.654069213585087,0.29833335000000005,4.324769149999998
C,SAGE-Mean,0,50,1.6034580000000003,2.719848135848314,0.8640381500000002,2.3679264499999992
C,SAGE-Mean,5,50,1.448982,2.6959793631265208,0.7172182499999998,2.2016408
C,SAGE-Mean,10,50,1.296106,2.6726356591757803,0.569006,2.0373595499999997
C,SAGE-Mean,15,50,1.144782,2.64971490015782,0.41796305000000006,1.88281735
C,SAGE-Mean,20,50,0.99492,2.6271203165350117,0.270882,1.7299936999999996
C,SAGE-Mean,30,50,0.699284,2.582704240524743,-0.008142599999999977,1.415168349999999
C,MLP,0,50,2.246724,3.835305903482771,1.24420755,3.3556242500000004
C,MLP,5,50,2.0627459999999997,3.747371394545401,1.0741287000000002,3.1422261999999996
C,MLP,10,50,1.879022,3.657810011652171,0.9172760000000001,2.9231331000000003
C,MLP,15,50,1.6954820000000002,3.5669187360618957,0.7514777,2.7173264500000003
C,MLP,20,50,1.512058,3.4751269043977935,0.58994145,2.5064469
C,MLP,30,50,1.1453959999999999,3.29124910968837,0.2534099,2.0874584999999994
C,LightGBM,0,50,2.40713,3.348045824744912,1.5072012,3.387965349999999
C,LightGBM,5,50,2.2206280000000005,3.2580101647929025,1.33981795,3.1718472999999996
C,LightGBM,10,50,2.031874,3.1621239561092476,1.1772611000000002,2.9560430499999995
C,LightGBM,15,50,1.8410900000000001,3.061539331390838,1.0121100000000003,2.73322745
C,LightGBM,20,50,1.648482,2.957533175530456,0.8489116,2.5095258499999993
C,LightGBM,30,50,1.25889,2.7448839545189356,0.5101106,2.0503386499999987
